    50/299     4.13G   0.03034   0.01259         0   0.04293        26       640     0.678    0.6802    0.6983    0.3324   0.06606   0.05442         0
    51/299     4.13G   0.03087   0.01251         0   0.04339        32       640    0.6944    0.6774    0.6987    0.3442   0.06529   0.05523         0
    52/299     4.13G   0.03029   0.01275         0   0.04304         9       640    0.6828    0.6829    0.6655    0.3211   0.06752   0.05428         0
    53/299     4.13G   0.02998   0.01195         0   0.04194        16       640    0.7146    0.6856    0.7141    0.3524   0.06529   0.05436         0
    54/299     4.13G    0.0289   0.01206         0   0.04097        13       640    0.7253    0.6797    0.6968    0.3464    0.0652   0.05533         0
    55/299     4.13G   0.02947   0.01209         0   0.04156        15       640    0.7747    0.6336    0.7091    0.3738   0.06546   0.05509         0
    56/299     4.13G   0.02966   0.01211         0   0.04177        15       640    0.7248    0.6637    0.6966    0.3527   0.06555   0.05628         0
    57/299     4.13G     0.029   0.01188         0   0.04088        12       640    0.7612    0.6394    0.6773    0.3453   0.06524   0.05714         0
    58/299     4.13G   0.02863   0.01132         0   0.03996         6       640     0.731    0.6335    0.6987    0.3624   0.06551   0.05678         0
    59/299     4.13G   0.02945   0.01187         0   0.04131        22       640    0.6731    0.6529    0.6677    0.3299   0.06687   0.05661         0
    60/299     4.13G   0.02836   0.01204         0   0.04039        13       640     0.829    0.5718    0.6807    0.3319   0.06689   0.05667         0
    61/299     4.13G   0.02756     0.012         0   0.03956         9       640    0.7271    0.6721    0.7074     0.365   0.06697   0.05354         0
    62/299     4.13G   0.02777   0.01179         0   0.03956        15       640    0.7351    0.6694    0.7183    0.3651    0.0683   0.05257         0
    63/299     4.13G    0.0282   0.01193         0   0.04013        32       640    0.7816    0.5962    0.6865    0.3637   0.06904   0.05371         0
    64/299     4.13G   0.02841   0.01138         0   0.03979        16       640    0.6712    0.6938    0.6985    0.3442   0.06892   0.05276         0
    65/299     4.13G   0.02811   0.01129         0    0.0394        22       640    0.7945     0.664    0.7235    0.3665   0.07048   0.05113         0
    66/299     4.13G    0.0268   0.01149         0   0.03829        27       640    0.7636    0.6585    0.6982    0.3733    0.0694   0.05219         0
    67/299     4.13G   0.02689   0.01067         0   0.03756        13       640    0.7574    0.6612    0.7018    0.3672   0.06977   0.05378         0
